,Skills,Tools,Interests,Education,Recommended Career,Recommended_Career
2339,"tableau, nlp, statistics, node.js, javascript","kubernetes, github",cybersecurity,postgraduate,Security Engineer,security engineer
2340,"python, rest apis, tensorflow, pytorch","postman, figma",ai/ml,graduate,AI Engineer,ai engineer
2341,"figma, git, react, networking, embedded systems, rest apis, python","jupyter, postman",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2342,"pytorch, tableau, hadoop, kubernetes","jira, gitlab",web development,undergraduate,Frontend Developer,frontend developer
2343,"tensorflow, rest apis, data analysis, spark, nlp, power bi, git","azure portal, kubernetes, vs code",ai/ml,undergraduate,AI Engineer,ai engineer
2344,"nlp, aws, embedded systems, cybersecurity, azure","kubernetes, aws ec2, github, gitlab",design,postgraduate,UI/UX Designer,ui/ux designer
2345,"statistics, networking, hadoop, java, ui/ux","aws ec2, jira",web development,postgraduate,Backend Developer,backend developer
2346,"kubernetes, git, deep learning, cybersecurity, rest apis, docker","jira, vs code",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
2347,"python, tensorflow, networking, sql, embedded systems, pytorch, java","docker, vs code, jira",ai/ml,graduate,AI Engineer,ai engineer
2348,"nlp, sql, deep learning, figma","google cloud, azure portal",web development,undergraduate,Frontend Developer,frontend developer
2349,"tableau, linux, sql, c++, deep learning","aws ec2, vs code, kubernetes, azure portal",ai/ml,graduate,AI Engineer,ai engineer
2350,"hadoop, deep learning, statistics, figma","jupyter, vs code, google cloud",cloud,graduate,DevOps Engineer,devops engineer
2351,"cybersecurity, deep learning, data analysis, ui/ux, linux, sql, pytorch","postman, jupyter, vs code",web development,graduate,Frontend Developer,frontend developer
2352,"tensorflow, linux, figma, kubernetes, html","kubernetes, figma, postman, pycharm",cloud,postgraduate,Cloud Engineer,cloud engineer
2353,"cybersecurity, rest apis, machine learning, nlp","azure portal, figma",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2354,"deep learning, aws, data analysis, tableau, networking","kubernetes, jira, jupyter, gitlab",data science,graduate,Data Analyst,data analyst
2355,"tableau, machine learning, cybersecurity, sql, aws, rest apis","figma, postman, jira, google cloud",data science,undergraduate,Data Scientist,data scientist
2356,"aws, embedded systems, python, node.js, tensorflow, hadoop, azure","figma, jira, github",data science,undergraduate,Data Analyst,data analyst
2357,"deep learning, machine learning, html, kubernetes","aws ec2, vs code, jira, figma",cybersecurity,graduate,Security Engineer,security engineer
2358,"pytorch, hadoop, javascript, sql, cybersecurity, tensorflow, git","pycharm, postman",web development,postgraduate,Backend Developer,backend developer
2359,"linux, javascript, deep learning, c++","azure portal, google cloud",web development,graduate,Frontend Developer,frontend developer
2360,"ui/ux, nlp, data analysis, figma","google cloud, gitlab, jira, github",web development,postgraduate,Backend Developer,backend developer
2361,"networking, tableau, pytorch, deep learning","figma, docker",data science,undergraduate,Data Analyst,data analyst
2362,"machine learning, statistics, embedded systems, git, hadoop, pytorch","github, kubernetes, postman, aws ec2",design,graduate,UI/UX Designer,ui/ux designer
2363,"nlp, sql, python, azure, git, hadoop, css","azure portal, jupyter, aws ec2, vs code",cybersecurity,graduate,Security Engineer,security engineer
2364,"aws, ui/ux, networking, cybersecurity","jira, vs code",data science,graduate,Data Analyst,data analyst
2365,"embedded systems, power bi, kubernetes, hadoop, data analysis, git, ui/ux","jira, google cloud, postman, gitlab",cloud,postgraduate,Cloud Engineer,cloud engineer
2366,"embedded systems, sql, statistics, css, java","docker, kubernetes",cloud,postgraduate,Cloud Engineer,cloud engineer
2367,"pytorch, linux, data analysis, figma, networking, embedded systems","github, figma, kubernetes, jupyter",cloud,graduate,DevOps Engineer,devops engineer
2368,"javascript, react, hadoop, deep learning","azure portal, aws ec2, google cloud",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2369,"statistics, linux, python, java, docker, sql","figma, aws ec2, gitlab",ai/ml,graduate,AI Engineer,ai engineer
2370,"machine learning, react, tableau, java, azure, javascript, python","jupyter, jira, postman",data science,undergraduate,Data Analyst,data analyst
2371,"linux, react, rest apis, figma, ui/ux","postman, jira, jupyter",cybersecurity,graduate,Security Engineer,security engineer
2372,"css, spark, data analysis, sql, git, azure","vs code, jira",data science,undergraduate,Data Scientist,data scientist
2373,"tableau, python, cybersecurity, linux, rest apis","docker, google cloud, figma, jupyter",cybersecurity,graduate,Security Engineer,security engineer
2374,"react, html, rest apis, hadoop, java, sql","google cloud, jira",cybersecurity,graduate,Security Engineer,security engineer
2375,"pytorch, figma, docker, git, spark, statistics, embedded systems","pycharm, github, jupyter",cloud,undergraduate,Cloud Engineer,cloud engineer
2376,"node.js, embedded systems, javascript, networking","docker, github, pycharm, gitlab",web development,undergraduate,Backend Developer,backend developer
2377,"azure, git, machine learning, sql, tableau, javascript","docker, aws ec2, jira",web development,graduate,Frontend Developer,frontend developer
2378,"aws, rest apis, azure, statistics","jupyter, postman",cloud,graduate,DevOps Engineer,devops engineer
2379,"pytorch, spark, power bi, nlp, html, c++, hadoop","aws ec2, google cloud",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2380,"embedded systems, tensorflow, docker, tableau","postman, google cloud",cloud,postgraduate,DevOps Engineer,devops engineer
2381,"linux, c++, pytorch, data analysis, python","aws ec2, docker, jira, pycharm",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2382,"aws, figma, react, python, rest apis","google cloud, gitlab, github, docker",cloud,undergraduate,DevOps Engineer,devops engineer
2383,"javascript, node.js, cybersecurity, kubernetes","pycharm, kubernetes, gitlab",web development,postgraduate,Backend Developer,backend developer
2384,"javascript, react, kubernetes, deep learning, nlp, ui/ux","postman, jira, github",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2385,"hadoop, sql, networking, javascript, data analysis, tableau","aws ec2, figma, gitlab, azure portal",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2386,"aws, data analysis, azure, python, sql","vs code, jira",data science,undergraduate,Data Scientist,data scientist
2387,"tableau, ui/ux, machine learning, azure, data analysis, java","azure portal, docker",web development,graduate,Frontend Developer,frontend developer
2388,"tableau, python, embedded systems, linux, data analysis, node.js","figma, jira",ai/ml,graduate,AI Engineer,ai engineer
2389,"aws, azure, node.js, tensorflow, deep learning, kubernetes","vs code, gitlab, github",ai/ml,undergraduate,AI Engineer,ai engineer
2390,"git, machine learning, kubernetes, hadoop, power bi, statistics, rest apis","jira, google cloud, vs code",cloud,graduate,Cloud Engineer,cloud engineer
2391,"deep learning, kubernetes, c++, python, sql, pytorch","jupyter, jira, vs code, google cloud",data science,postgraduate,Data Scientist,data scientist
2392,"kubernetes, git, networking, docker, html","docker, postman, vs code, jupyter",design,graduate,UI/UX Designer,ui/ux designer
2393,"statistics, azure, tensorflow, sql","pycharm, jira",data science,undergraduate,Data Scientist,data scientist
2394,"c++, statistics, spark, figma, css, javascript, hadoop","jira, kubernetes, docker, github",design,undergraduate,UI/UX Designer,ui/ux designer
2395,"hadoop, ui/ux, tableau, machine learning, kubernetes, c++","jupyter, figma",cloud,graduate,DevOps Engineer,devops engineer
2396,"tableau, cybersecurity, rest apis, azure, kubernetes, linux, c++","kubernetes, azure portal",data science,postgraduate,Data Analyst,data analyst
2397,"figma, linux, networking, git","figma, kubernetes",cloud,graduate,DevOps Engineer,devops engineer
2398,"spark, tensorflow, node.js, javascript","azure portal, vs code",design,postgraduate,UI/UX Designer,ui/ux designer
2399,"nlp, kubernetes, node.js, embedded systems, spark, azure, linux","docker, github",web development,postgraduate,Backend Developer,backend developer
2400,"ui/ux, data analysis, figma, tensorflow, c++","vs code, kubernetes, docker, gitlab",cybersecurity,graduate,Security Engineer,security engineer
2401,"aws, tableau, hadoop, python, docker, linux, ui/ux","google cloud, jira, aws ec2",cloud,postgraduate,Cloud Engineer,cloud engineer
2402,"linux, figma, ui/ux, machine learning","google cloud, docker",design,postgraduate,UI/UX Designer,ui/ux designer
2403,"deep learning, tensorflow, rest apis, javascript","figma, azure portal, jira",cloud,postgraduate,DevOps Engineer,devops engineer
2404,"html, embedded systems, css, c++, spark, nlp, git","github, jira, azure portal, kubernetes",web development,graduate,Frontend Developer,frontend developer
2405,"data analysis, linux, ui/ux, css, cybersecurity, sql, node.js","postman, azure portal, pycharm",cybersecurity,undergraduate,Security Engineer,security engineer
2406,"linux, nlp, kubernetes, figma","vs code, azure portal, google cloud, pycharm",cloud,postgraduate,DevOps Engineer,devops engineer
2407,"spark, aws, deep learning, python, c++, nlp","figma, google cloud, postman",design,postgraduate,UI/UX Designer,ui/ux designer
2408,"sql, linux, figma, git, nlp","postman, figma, github, jupyter",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2409,"spark, rest apis, pytorch, css, machine learning, java, deep learning","kubernetes, vs code",design,undergraduate,UI/UX Designer,ui/ux designer
2410,"java, nlp, figma, css, data analysis","gitlab, jira, pycharm, jupyter",data science,postgraduate,Data Analyst,data analyst
2411,"spark, cybersecurity, figma, ui/ux","azure portal, jupyter, google cloud, kubernetes",design,graduate,UI/UX Designer,ui/ux designer
2412,"sql, embedded systems, docker, html","jupyter, jira",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2413,"docker, statistics, linux, javascript","aws ec2, gitlab, vs code, jupyter",ai/ml,graduate,AI Engineer,ai engineer
2414,"java, html, nlp, cybersecurity, javascript, react","azure portal, vs code, figma, aws ec2",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2415,"azure, embedded systems, node.js, tableau","docker, jupyter",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
2416,"ui/ux, html, css, tensorflow, nlp, networking","kubernetes, gitlab, github",design,undergraduate,UI/UX Designer,ui/ux designer
2417,"javascript, figma, ui/ux, nlp","azure portal, gitlab, pycharm, vs code",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2418,"java, machine learning, c++, tableau, git, azure, aws","pycharm, azure portal",cloud,postgraduate,Cloud Engineer,cloud engineer
2419,"cybersecurity, sql, machine learning, rest apis","azure portal, google cloud",cloud,undergraduate,DevOps Engineer,devops engineer
2420,"react, pytorch, git, python, data analysis","jupyter, kubernetes",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
2421,"pytorch, nlp, rest apis, html, javascript, ui/ux, docker","google cloud, postman",cloud,undergraduate,Cloud Engineer,cloud engineer
2422,"figma, kubernetes, rest apis, linux, cybersecurity, node.js, embedded systems","figma, kubernetes",design,graduate,UI/UX Designer,ui/ux designer
2423,"ui/ux, aws, data analysis, statistics, rest apis, tensorflow, node.js","jira, google cloud, vs code",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
2424,"kubernetes, java, c++, css, node.js, nlp","figma, azure portal, postman, kubernetes",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2425,"node.js, javascript, figma, aws, cybersecurity, hadoop","azure portal, jupyter, google cloud",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2426,"hadoop, docker, nlp, statistics, tableau, spark","google cloud, vs code",web development,undergraduate,Backend Developer,backend developer
2427,"css, aws, linux, pytorch, power bi, javascript, statistics","jira, azure portal, kubernetes, postman",ai/ml,graduate,AI Engineer,ai engineer
2428,"sql, power bi, tensorflow, kubernetes","pycharm, aws ec2, figma, google cloud",cloud,undergraduate,Cloud Engineer,cloud engineer
2429,"git, aws, embedded systems, power bi, data analysis","gitlab, kubernetes, vs code",design,graduate,UI/UX Designer,ui/ux designer
2430,"data analysis, embedded systems, nlp, tableau, networking, ui/ux, python","pycharm, gitlab",data science,graduate,Data Analyst,data analyst
2431,"figma, azure, spark, react, html","google cloud, docker",cloud,postgraduate,Cloud Engineer,cloud engineer
2432,"embedded systems, statistics, cybersecurity, docker","kubernetes, jupyter, docker",design,undergraduate,UI/UX Designer,ui/ux designer
